group,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
1,0.022433589,0.017666956,0.024809333,0.005661067,0.018438533,0.005363611,0.004120622,0.001441511,0.012594478,0.002543111,0.005802878,0.023095911,0.0034971,0.009776778,0.006600778,0.004975456,0.007668667,0.0087913,0.003637456,0.006874233,0.004452889,0.0029269,0.009293844,0.004322489,0.008690522,0.007007333,0.009532344,0.013168633,0.012568089,0.007217222,0.008586067,0.005198456
1,0.025399444,0.020177956,0.028109256,0.006542722,0.020136244,0.006197178,0.004410289,0.001622589,0.014394478,0.003156833,0.006116167,0.015798444,0.003761711,0.010904,0.004865,0.005547489,0.008547833,0.010137556,0.004159022,0.007793467,0.004995078,0.003302033,0.009529844,0.004694011,0.009454111,0.008097444,0.011308622,0.0148293,0.014500056,0.007189567,0.012299378,0.0060059
1,0.036726967,0.028138633,0.040799211,0.008579889,0.018290622,0.007937744,0.005729544,0.002203022,0.019435067,0.003393889,0.0076294,0.022913456,0.004760189,0.014397022,0.005243611,0.007076744,0.010674478,0.012928522,0.005236867,0.010226878,0.006291256,0.003916056,0.011849067,0.006185678,0.012367611,0.009985022,0.014839333,0.019751378,0.019547967,0.008463333,0.010388333,0.007625911
1,0.017778444,0.014010667,0.019509533,0.004759433,0.012247722,0.004656778,0.003190633,0.001151822,0.0101949,0.002029956,0.004166467,0.010966978,0.002732311,0.007738611,0.003207711,0.004121967,0.006026089,0.0066806,0.002859578,0.005653478,0.003546133,0.002483644,0.007044967,0.003496322,0.006797767,0.004874511,0.008128389,0.0106796,0.010290278,0.004771289,0.007265056,0.004302189
1,0.017353167,0.013674289,0.019208322,0.004310478,-0.001087744,0.0028376,0.002742367,0.001080922,0.009165233,0.0010636,0.003001433,0.010087578,0.002277267,0.007155744,0.001102678,0.003216678,0.0048732,0.006165389,0.002354633,0.005114856,0.0030042,0.001406367,0.0046808,0.002903833,0.006046944,0.0041203,0.007534089,0.009451744,0.009232911,0.003656178,-0.0022242,0.003663833
1,0.0205711,0.015734367,0.022661278,0.004622422,0.000822944,0.003133156,0.002949556,0.0012948,0.010760789,0.000876244,0.003504844,0.011076944,0.002560989,0.008155967,0.001323967,0.003586711,0.005576656,0.006960122,0.002484944,0.005856244,0.003096044,0.001605278,0.004878444,0.003146033,0.006235889,0.004832222,0.008126544,0.011009656,0.010332,0.003967111,-0.001390511,0.003912222
1,0.013668689,0.010829478,0.015140156,0.003607167,0.0025439,0.002780189,0.002393222,0.000890944,0.007504867,0.001266722,0.002731622,0.007854078,0.002004867,0.005961422,0.0016208,0.002895967,0.004355244,0.005067044,0.002073789,0.004382444,0.002662456,0.001452056,0.004406267,0.002500322,0.005073911,0.003428789,0.006185844,0.007750756,0.007538144,0.003438844,0.000410467,0.003111878
1,0.020761311,0.016120756,0.022747822,0.005141633,0.005787711,0.004279678,0.003365322,0.001305289,0.011174767,0.001626944,0.004160722,0.012311667,0.002828433,0.008490578,0.002346678,0.004151611,0.006199222,0.006943011,0.002851856,0.006158333,0.003571378,0.002153056,0.006366389,0.003584267,0.007186578,0.005046833,0.008720767,0.011520189,0.011104389,0.004437822,0.002502344,0.004235678
1,0.00566302,0.00457342,0.00630868,0.00151064,0.00083414,0.00110458,0.00088016,0.00037292,0.0030576,0.0004265,0.00090384,0.00250244,0.00076864,0.00236938,0.00043058,0.00117606,0.0017249,0.00203706,0.00083306,0.00181986,0.00107428,0.00056932,0.0018231,0.00104846,0.00203762,0.0013007,0.00253108,0.00317486,0.0030585,0.00123816,0.0002195,0.00123912
1,0.024474556,0.019503822,0.027279522,0.006572778,0.023851689,0.006711244,0.004557056,0.001579578,0.014193656,0.003578144,0.006237044,0.014480989,0.003887867,0.010619744,0.005075244,0.005958156,0.008661978,0.009974489,0.004225356,0.008621533,0.005239189,0.003755244,0.010328133,0.005052644,0.009482544,0.0079135,0.010909167,0.0144982,0.014143489,0.007260789,0.013585889,0.006150589
1,0.018440933,0.014952478,0.020597611,0.005312911,0.01965978,0.005562967,0.003775322,0.001298022,0.011039356,0.003160322,0.005019067,0.011015211,0.003265778,0.008485233,0.004478933,0.004981389,0.007112978,0.008037622,0.003465756,0.006958356,0.004394711,0.003221656,0.008707989,0.004132722,0.007685122,0.006385078,0.008762689,0.011492689,0.011132267,0.006075822,0.01150882,0.005150411
1,0.033231256,0.026341933,0.037906544,0.008229456,0.001928456,0.005811533,0.005314389,0.001973844,0.017576967,0.002315278,0.005783689,0.019607011,0.004389667,0.013356689,0.002297833,0.006304278,0.009283,0.011853933,0.004570111,0.010329833,0.005853789,0.0028343,0.009483644,0.005811067,0.0114779,0.0095095,0.013987711,0.017693789,0.017628678,0.006997522,-0.000973167,0.007483756
1,0.017775178,0.013738633,0.019275422,0.004747144,0.029454411,0.0066647,0.0035006,0.001246167,0.010549111,0.002924056,0.005826678,0.009475911,0.003124889,0.007865711,0.005309,0.004863811,0.006963556,0.008342022,0.0032572,0.006908433,0.004043922,0.003470356,0.008998444,0.003945144,0.006942644,0.0061025,0.007683378,0.011127056,0.010297278,0.005867578,0.025408956,0.004543244
1,0.0277959,0.0211858,0.030798856,0.006383178,0.005416967,0.005334944,0.004147922,0.001669167,0.014412944,0.001596911,0.005131411,0.0144538,0.003473978,0.010732789,0.002295511,0.005062156,0.007494489,0.0095524,0.003484267,0.008468333,0.004610333,0.002572589,0.008132433,0.004675711,0.008996311,0.006882856,0.010803578,0.014561856,0.013890367,0.005413133,0.001856133,0.005369167
1,0.017469022,0.013994189,0.019069811,0.005047778,0.018231367,0.005789644,0.003554911,0.001219844,0.010330411,0.002856011,0.004693044,0.010115822,0.002984578,0.007896422,0.004199411,0.004605933,0.006557433,0.007459444,0.003232422,0.006635156,0.004224856,0.003033267,0.008366544,0.003893989,0.0073604,0.0054366,0.008126756,0.010620667,0.010372878,0.005271311,0.011299844,0.0045103
1,0.039019322,0.030648089,0.044167378,0.009719367,0.018968189,0.008993922,0.006519244,0.0023822,0.021012322,0.003857533,0.008187444,0.0235236,0.005277611,0.015507978,0.005283778,0.007840422,0.011373267,0.014699389,0.005814422,0.012833333,0.007661733,0.004446311,0.013744478,0.007327789,0.014117822,0.011075478,0.015997044,0.020805056,0.020860422,0.008901422,0.008767133,0.008418133
1,0.019997456,0.015595178,0.022460222,0.004791322,-0.002100933,0.0032557,0.002956144,0.001223256,0.010332867,0.000814078,0.003227722,0.010312356,0.002477833,0.007766511,0.0008546,0.003493556,0.005213889,0.006874978,0.002490711,0.006364744,0.003413456,0.001567767,0.005304511,0.003371,0.006562411,0.004573322,0.008028033,0.010268589,0.009991978,0.003598078,-0.002747386,0.003934478
